nomor_kartu_test,nama,tipe,person_id
TESTCARD-0001,Yance Puspasari,student,c473e08d-b3d2-4dc3-ab40-3166f49934d3
TESTCARD-0002,Hafshah Astuti,student,f48c5313-9473-4b47-b19f-8ce90b6f9fa1
TESTCARD-0003,Prabawa Mahendra,student,ca1f86ec-c351-4ecf-90b6-151e8d22e7b0
TESTCARD-0004,Kani Rahimah,student,89f3271f-90d4-4cd3-9969-c9e714cc1fed
TESTCARD-0005,Aisyah Talia Mardhiyah,student,c9292ae5-10ed-4f7d-95e0-7e9d2504dd34
TESTCARD-0006,Jane Rina Lestari M.Kom.,student,ecf92b35-0fd3-45c8-bf0d-f2880cc8fd91
TESTCARD-0007,Candrakanta Cahyanto Setiawan S.Psi,student,c3cf5c08-c95c-416f-abc3-17cfe4dd8d21
TESTCARD-0008,Ibrahim Gandi Simanjuntak,student,71c269d0-a8ca-46bc-b2f2-13b3adc7d807
TESTCARD-0009,Empluk Thamrin,student,443cc4af-3f09-480f-80bc-08653e2fcca3
TESTCARD-0010,Ajimin Uda Wijaya,student,e6a6d4a6-7285-407b-89f8-b0e37a79e7cf
TESTCARD-0011,Dwi Pranowo,student,f56ffb64-b510-4bfb-8fb4-d1c037baf1c2
TESTCARD-0012,Jatmiko Saragih,student,5f082f63-2d57-47a0-9a2d-dd2db71074b1
TESTCARD-0013,Cagak Banara Prasetya S.IP,student,27f4ff7b-eaab-4108-9a91-8ea7b2b7c003
TESTCARD-0014,Hartaka Tamba,student,12d64a93-95ad-4d36-aa7b-434a7a5e152a
TESTCARD-0015,Siti Olivia Suryatmi,student,4c88c024-b941-4c63-be0d-70c5c65ee988
TESTCARD-0016,Cahyono Najmudin S.Pt,student,6b902254-dccd-490c-8da1-dee03e75eb06
TESTCARD-0017,Queen Agnes Puspita,student,0c79cb88-5d34-4ea3-8106-e2c53e7375b9
TESTCARD-0018,Lukita Suwarno,student,ff2d02a1-7214-457a-aa7c-c7e217cb3c5f
TESTCARD-0019,Paulin Hasanah M.M.,student,2e09b2f0-e9da-4017-92cb-779c675aed8c
TESTCARD-0020,Darsirah Atma Wibisono S.Psi,student,1da100f0-572e-4010-8acf-6165d4a10edd
TESTCARD-0021,Kardi Adriansyah,student,d3a13756-e938-419c-8b61-4c4e9e37a1c4
TESTCARD-0022,Erik Mujur Tarihoran,student,e83220fe-c30e-4a35-be67-ea9c26476862
TESTCARD-0023,Jindra Wibisono,student,c1867453-7f70-4c39-b812-d098afa98189
TESTCARD-0024,Devi Nurdiyanti,student,1c426d30-d7e3-402c-a0da-68548beea0ef
TESTCARD-0025,Titi Widiastuti,student,dfeea9b0-7b61-4021-9460-a3f4b87dd8a4
TESTCARD-0026,Dimaz Nashiruddin,student,b515aaac-0520-49a4-a694-fc9dede5aed4
TESTCARD-0027,Hardi Kuswoyo,student,7a2a2521-1dab-49fc-8366-855af076a96c
TESTCARD-0028,Jamil Tamba S.Sos,student,c072d6b2-423c-4660-a684-e7de03172e03
TESTCARD-0029,Jelita Samiah Lestari,student,bdce7a67-19cd-4b78-a7af-12633e165726
TESTCARD-0030,Hasim Tampubolon,student,a7e7ebbc-3db0-4639-8815-4e96f26d3d4d
TESTCARD-0031,Tiara Usamah,student,a5be89b9-6629-4a74-aa3e-9c165c60bcc9
TESTCARD-0032,Michelle Usada,student,d199d178-e300-4fbc-848c-5888353fb5bf
TESTCARD-0033,Puput Cindy Padmasari M.Ak,student,712b0e90-03b5-4708-b50d-b3f2b1c5df3d
TESTCARD-0034,Nilam Pertiwi,student,357df5bd-2ffd-410a-8ed3-10693cf132f2
TESTCARD-0035,Rafid Latupono S.E.,student,82b072ae-000c-463e-a767-f2595ce4edb1
TESTCARD-0036,Maria Uli Yuniar M.M.,student,1efdbda9-6592-4899-b9d1-7d7d7431f3e5
TESTCARD-0037,Rusman Kuswoyo M.Ak,student,b2997c72-8501-4441-9ea7-86292c61faa9
TESTCARD-0038,Cawisadi Timbul Permadi,student,13101ac4-16e8-4f9f-853c-ad9fa18c3137
TESTCARD-0039,Victoria Kartika Riyanti,student,efe26dec-18dd-42ad-becd-ff276d251e4a
TESTCARD-0040,Febi Laksita,student,9f0f9ee6-7031-431b-ae14-1be9e3fac80b
TESTCARD-0041,Mulyanto Sihotang,student,b58409cd-3340-441a-bcc5-42a8efc9fc54
TESTCARD-0042,Halim Adika Hidayanto S.Farm,student,6d8e6212-c2df-454c-b4c0-903ad5660131
TESTCARD-0043,Maryanto Prabowo Simbolon S.H.,student,ac238c0d-eacf-4e30-9d84-df78e2cd4c8f
TESTCARD-0044,Luluh Wijaya,student,40cf0848-8fe3-4ee8-97bb-841c99a3c220
TESTCARD-0045,Patricia Hesti Rahimah,student,917b781c-5f02-4cbc-8ac8-e9eccae72a55
TESTCARD-0046,Raihan Ozy Rajata S.T.,student,18cf5d9e-fc41-4fc2-b0b1-896667659caa
TESTCARD-0047,Salsabila Citra Safitri S.Pd,student,bad23a43-ef52-4bfc-80ac-5ae6056308b1
TESTCARD-0048,Setya Gunawan S.Ked,student,f9dbdf7e-3dc5-4165-ba2f-ecd8ad1c44ec
TESTCARD-0049,Paulin Rahimah,student,4dbbb410-a7e0-4530-ba94-15b99b392a7a
TESTCARD-0050,Raihan Wibisono S.IP,student,e5d71a74-9be3-4cc9-bf66-e98fcf9a32e6
TESTCARD-0051,Almira Utami,student,853cfe24-23c2-45d8-b6d9-32723a037b65
TESTCARD-0052,Kamidin Asmianto Waluyo,student,6e2ff58b-592f-465d-a566-46cc99c0a71f
TESTCARD-0053,Wage Marsito Maryadi,student,c50419c8-4651-4783-8420-36a2ae723794
TESTCARD-0054,Unggul Saputra,student,6f9f8203-6ed1-4197-9e44-0d622fd5edf9
TESTCARD-0055,Ikin Lasmanto Nababan S.Pt,student,e139c180-2e8d-44f4-ac34-d53b39245ce5
TESTCARD-0056,Candra Hardiansyah,student,58cf07a7-b59a-43f5-bdee-aee97be6daee
TESTCARD-0057,Radit Dimas Wibowo,student,fdd237df-f8b2-424b-be87-ffacac5bcaab
TESTCARD-0058,Tami Raisa Zulaika M.Pd,student,1f66e2cc-2402-4813-9311-7361180014db
TESTCARD-0059,Tania Pertiwi,student,6b866ac4-e6cb-44d9-be22-ae4771e2eeb6
